CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:01 PM,ETH,bitfinex,48059.989,koinex  ,58250.0,21.203,-17.494
27/Dec/2017: 07:01 PM,ETH,bitfinex,48059.989,cex,52219.091,8.654,-7.965
27/Dec/2017: 07:01 PM,ETH,Kraken  ,48156.688,koinex  ,58250.0,20.959,-17.328
27/Dec/2017: 07:01 PM,ETH,Kraken  ,48156.688,cex,52219.091,8.436,-7.78

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:01 PM,BTC,Bittrex ,1040129.834,koinex  ,1227000.0,17.966,-15.23
27/Dec/2017: 07:01 PM,BTC,Bittrex ,1040129.834,cex,1100613.318,5.815,-5.495
27/Dec/2017: 07:01 PM,BTC,exmo    ,1043835.7,koinex  ,1227000.0,17.547,-14.928
27/Dec/2017: 07:01 PM,BTC,exmo    ,1043835.7,cex,1100613.318,5.439,-5.159
27/Dec/2017: 07:01 PM,BTC,bitfinex,1006629.041,koinex  ,1227000.0,21.892,-17.96
27/Dec/2017: 07:01 PM,BTC,bitfinex,1006629.041,cex,1100613.318,9.337,-8.539
27/Dec/2017: 07:01 PM,BTC,Kraken  ,1013782.197,koinex  ,1227000.0,21.032,-17.377
27/Dec/2017: 07:01 PM,BTC,Kraken  ,1013782.197,cex,1100613.318,8.565,-7.889

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:02 PM,XRP,Bittrex ,75.557,koinex  ,89.69,18.705,-15.757
27/Dec/2017: 07:02 PM,XRP,Bittrex ,75.557,cex,73.305,-2.98,3.072
27/Dec/2017: 07:02 PM,XRP,exmo    ,75.886,koinex  ,89.69,18.19,-15.391
27/Dec/2017: 07:02 PM,XRP,exmo    ,75.886,cex,73.305,-3.401,3.521
27/Dec/2017: 07:02 PM,XRP,bitfinex,72.652,koinex  ,89.69,23.451,-18.996
27/Dec/2017: 07:02 PM,XRP,bitfinex,72.652,cex,73.305,0.899,-0.891
27/Dec/2017: 07:02 PM,XRP,Kraken  ,72.364,koinex  ,89.69,23.943,-19.318
27/Dec/2017: 07:02 PM,XRP,Kraken  ,72.364,cex,73.305,1.301,-1.284

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:03 PM,ETH,Bittrex ,49622.35,koinex  ,58250.0,17.387,-14.811
27/Dec/2017: 07:03 PM,ETH,Bittrex ,49622.35,cex,52444.598,5.687,-5.381
27/Dec/2017: 07:03 PM,ETH,exmo    ,49822.342,koinex  ,58250.0,16.915,-14.468
27/Dec/2017: 07:03 PM,ETH,exmo    ,49822.342,cex,52444.598,5.263,-5.0
27/Dec/2017: 07:03 PM,ETH,bitfinex,48146.441,koinex  ,58250.0,20.985,-17.345
27/Dec/2017: 07:03 PM,ETH,bitfinex,48146.441,cex,52444.598,8.927,-8.196
27/Dec/2017: 07:03 PM,ETH,Kraken  ,48157.328,koinex  ,58250.0,20.958,-17.326
27/Dec/2017: 07:03 PM,ETH,Kraken  ,48157.328,cex,52444.598,8.903,-8.175

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:03 PM,BTC,Bittrex ,1042831.74,koinex  ,1227000.0,17.66,-15.01
27/Dec/2017: 07:03 PM,BTC,Bittrex ,1042831.74,cex,1100446.176,5.525,-5.236
27/Dec/2017: 07:03 PM,BTC,exmo    ,1043272.948,koinex  ,1227000.0,17.611,-14.974
27/Dec/2017: 07:03 PM,BTC,exmo    ,1043272.948,cex,1100446.176,5.48,-5.195
27/Dec/2017: 07:03 PM,BTC,bitfinex,1007973.86,koinex  ,1227000.0,21.729,-17.851
27/Dec/2017: 07:03 PM,BTC,bitfinex,1007973.86,cex,1100446.176,9.174,-8.403
27/Dec/2017: 07:03 PM,BTC,Kraken  ,1013782.197,koinex  ,1227000.0,21.032,-17.377
27/Dec/2017: 07:03 PM,BTC,Kraken  ,1013782.197,cex,1100446.176,8.549,-7.875

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:03 PM,ZEC,Bittrex ,35435.065,cex,37462.777,5.722,-5.413
27/Dec/2017: 07:03 PM,ZEC,exmo    ,35605.703,cex,37462.777,5.216,-4.957
27/Dec/2017: 07:03 PM,ZEC,bitfinex,34477.957,cex,37462.777,8.657,-7.967
27/Dec/2017: 07:03 PM,ZEC,Kraken  ,34447.218,cex,37462.777,8.754,-8.049

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:03 PM,QTUM,bitfinex,3118.635,cex,237712.768,7522.333,-98.688

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:05 PM,XRP,cex,73.261,koinex  ,89.96,22.794,-18.563
27/Dec/2017: 07:05 PM,XRP,Bittrex ,75.759,koinex  ,89.96,18.745,-15.786
27/Dec/2017: 07:05 PM,XRP,exmo    ,75.841,koinex  ,89.96,18.616,-15.694
27/Dec/2017: 07:05 PM,XRP,bitfinex,72.62,koinex  ,89.96,23.877,-19.275
27/Dec/2017: 07:05 PM,XRP,Kraken  ,72.521,koinex  ,89.96,24.047,-19.385

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:05 PM,XRP,cex,73.261,koinex  ,89.96,22.794,-18.563
27/Dec/2017: 07:05 PM,XRP,Bittrex ,75.759,koinex  ,89.96,18.745,-15.786
27/Dec/2017: 07:05 PM,XRP,exmo    ,75.841,koinex  ,89.96,18.616,-15.694
27/Dec/2017: 07:05 PM,XRP,bitfinex,72.492,koinex  ,89.96,24.096,-19.417
27/Dec/2017: 07:05 PM,XRP,Kraken  ,72.521,koinex  ,89.96,24.047,-19.385

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:06 PM,ETH,cex,52299.089,koinex  ,58296.0,11.467,-10.287
27/Dec/2017: 07:06 PM,ETH,Bittrex ,50053.779,koinex  ,58296.0,16.467,-14.139
27/Dec/2017: 07:06 PM,ETH,exmo    ,49886.381,koinex  ,58296.0,16.858,-14.426
27/Dec/2017: 07:06 PM,ETH,bitfinex,48121.466,koinex  ,58296.0,21.143,-17.453
27/Dec/2017: 07:06 PM,ETH,Kraken  ,48157.328,koinex  ,58296.0,21.053,-17.392

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:06 PM,XRP,cex,73.261,koinex  ,89.96,22.794,-18.563
27/Dec/2017: 07:06 PM,XRP,Bittrex ,75.759,koinex  ,89.96,18.745,-15.786
27/Dec/2017: 07:06 PM,XRP,exmo    ,75.886,koinex  ,89.96,18.546,-15.644
27/Dec/2017: 07:06 PM,XRP,bitfinex,72.364,koinex  ,89.96,24.316,-19.56
27/Dec/2017: 07:06 PM,XRP,Kraken  ,72.556,koinex  ,89.96,23.987,-19.346

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:06 PM,ETH,cex,52444.893,koinex  ,58296.0,11.157,-10.037
27/Dec/2017: 07:06 PM,ETH,Bittrex ,50053.779,koinex  ,58296.0,16.467,-14.139
27/Dec/2017: 07:06 PM,ETH,exmo    ,49886.381,koinex  ,58296.0,16.858,-14.426
27/Dec/2017: 07:06 PM,ETH,bitfinex,48092.008,koinex  ,58296.0,21.218,-17.504
27/Dec/2017: 07:06 PM,ETH,Kraken  ,48065.112,koinex  ,58296.0,21.285,-17.55

